addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,geometry,index_right,BASE_DATE,ADM_CD,ADM_NM
경기도 가평군 가평읍 당목가일길 645,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2734241,28,20210818011701,http://tong.visitkorea.or.kr/cms/resource/33/2797333_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2797333_image2_1.jpg,Type3,127.5782851,37.87823449,6.0,20250107090323,1.0,,파인포레스트,12410,POINT (127.5782851 37.87823449),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 대곡리,563-2,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2909594,28,20221116102705,http://tong.visitkorea.or.kr/cms/resource/70/2909570_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/70/2909570_image3_1.JPG,Type3,127.4903198,37.82345313,6.0,20250108151106,1.0,,가평글램핑 사그막끝마을,12416,POINT (127.4903198 37.82345313),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 두밀리,", 하면 현리",31,0.0,자연,자연관광지,산,125467,12,20030331090000,,,,127.4363222,37.81305334,6.0,20241113103524,1.0,,대금산(경기),"477-806,2",POINT (127.4363222 37.81305334),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 두밀리,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",3074993,28,20230912162516,,,,127.4475376,37.82223581,6.0,20241127142716,1.0,,솔다람숲힐링파크,12425,POINT (127.4475376 37.82223581),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 두밀리 216,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2726703,28,20210722231109,http://tong.visitkorea.or.kr/cms/resource/16/2726816_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/16/2726816_image2_1.JPG,Type3,127.4547843,37.81532842,6.0,20241218140447,1.0,,그라티아글램핑,12425,POINT (127.4547843 37.81532842),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 문화로 131,,31,0.0,인문(문화/예술/역사),건축/조형물,기념탑/기념비/전망대,1283850,12,20110520231515,,,,127.505771,37.8265225,6.0,20240926194823,1.0,,가평학도의용대참전비,12416,POINT (127.505771 37.8265225),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 문화로 131,,31,0.0,인문(문화/예술/역사),문화시설,공연장,130220,14,20060608090000,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image3_1.jpg,Type3,127.5085264,37.82424781,6.0,20240823153354,1.0,,가평문화예술회관,12416,POINT (127.5085264 37.82424781),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 문화로 131,,31,0.0,인문(문화/예술/역사),문화시설,문화원,129877,14,20071106103359,http://tong.visitkorea.or.kr/cms/resource/94/3475694_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/94/3475694_image3_1.JPG,Type3,127.5085264,37.82424781,6.0,20250315121025,1.0,,가평문화원,12416,POINT (127.5085264 37.82424781),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 문화로 291-25,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2740097,28,20210906201426,http://tong.visitkorea.or.kr/cms/resource/92/2797392_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2797392_image2_1.jpg,Type3,127.5043069,37.83874049,6.0,20240819113934,1.0,,가평카라반캠핑농원,12414,POINT (127.5043069 37.83874049),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 보납로 459-145,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2755473,28,20211012185549,http://tong.visitkorea.or.kr/cms/resource/61/2797361_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2797361_image2_1.jpg,Type3,127.544175,37.85621142,6.0,20240814094011,1.0,,플로레스타글램핑,12410,POINT (127.544175 37.85621142),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 보납로 459-158,,31,,음식,음식점,한식,2011963,39,20150624193836,http://tong.visitkorea.or.kr/cms/resource/85/2010785_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2010785_image3_1.jpg,Type3,127.5489885,37.85527828,6.0,20240610135458,1.0,031-581-5570,동기간,12410,POINT (127.5489885 37.85527828),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 보납로18번길 2,,31,,음식,음식점,한식,1210431,39,20110222011033,,,,127.5123814,37.8307138,6.0,20241223142637,1.0,031-581-9797,마당왕족발보쌈,12418,POINT (127.5123814 37.8307138),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 복장리,,31,,레포츠,레포츠소개,수상레포츠,3006252,28,20230901141120,http://tong.visitkorea.or.kr/cms/resource/88/3001888_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/88/3001888_image3_1.JPG,Type3,127.5065597,37.73564141,6.0,20241125153511,1.0,,썸머타임수상레저,12430,POINT (127.5065597 37.73564141),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 북한강변로 1024,,31,,레포츠,육상 레포츠,트래킹,1905660,28,20140317185738,http://tong.visitkorea.or.kr/cms/resource/07/3092607_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/3092607_image3_1.jpg,Type1,127.5253838,37.80406714,6.0,20250317204212,1.0,,스카이라인 짚와이어,12422,POINT (127.5253838 37.80406714),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 북한강변로 1044-15,(가평읍),31,,레포츠,육상 레포츠,번지점프,131940,28,20070420090000,http://tong.visitkorea.or.kr/cms/resource/86/1900086_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/1900086_image3_1.jpg,Type3,127.5260031,37.80603914,6.0,20241209105615,1.0,,가평TOP랜드 번지점프,12422,POINT (127.5260031 37.80603914),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 북한강변로 1068,,31,,음식,음식점,한식,2765436,39,20211102000249,http://tong.visitkorea.or.kr/cms/resource/63/2766263_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/63/2766263_image2_1.png,Type3,127.5250059,37.80803611,6.0,20240805142921,1.0,,조무락닭갈비,12422,POINT (127.5250059 37.80803611),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 북한강변로 1083,,31,,음식,음식점,한식,2783668,39,20211130220247,http://tong.visitkorea.or.kr/cms/resource/47/2783847_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/47/2783847_image3_1.jpeg,Type3,127.5235894,37.80916929,6.0,20250116104538,1.0,,힐링닭갈비,12422,POINT (127.5235894 37.80916929),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 북한강변로 1103,,31,,음식,음식점,한식,1213982,39,20110223021808,,,,127.5223144,37.81033024,6.0,20250115112520,1.0,031-581-2252,남이섬 풍경닭갈비,12422,POINT (127.5223144 37.81033024),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 북한강변로 1131,,31,,음식,음식점,한식,1195574,39,20110207234647,,,,127.519548,37.81102733,6.0,20241223155554,1.0,031-582-3629,전통손두부닭갈비,12422,POINT (127.519548 37.81102733),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 북한강변로 154,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2764902,28,20211029194049,http://tong.visitkorea.or.kr/cms/resource/43/2797443_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2797443_image2_1.jpg,Type3,127.5253049,37.74685157,6.0,20240814103249,1.0,,사계절글램핑,12428,POINT (127.5253049 37.74685157),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 북한강변로 214,,31,,인문(문화/예술/역사),휴양관광지,관광단지,2770651,12,20211109194543,http://tong.visitkorea.or.kr/cms/resource/58/2771558_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/58/2771558_image3_1.png,Type3,127.5309432,37.75031794,6.0,20250316151225,1.0,,클럽보드힐링리조트,12428,POINT (127.5309432 37.75031794),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 북한강변로 274,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2753019,28,20211005232636,http://tong.visitkorea.or.kr/cms/resource/72/2797372_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2797372_image2_1.jpg,Type3,127.5356871,37.75316214,6.0,20241218142749,1.0,,가평 워크샵 캠핑장 씨브이 리조트,12428,POINT (127.5356871 37.75316214),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 북한강변로 326-124,,31,,음식,음식점,카페/전통찻집,2773838,39,20211112190806,http://tong.visitkorea.or.kr/cms/resource/98/2773898_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/98/2773898_image3_1.jpeg,Type3,127.5390673,37.7551953,6.0,20241218135033,1.0,,골든트리,12428,POINT (127.5390673 37.7551953),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 북한강변로 360-89,,31,,인문(문화/예술/역사),휴양관광지,관광단지,2765650,12,20211102012111,http://tong.visitkorea.or.kr/cms/resource/82/2766282_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/82/2766282_image3_1.png,Type3,127.5418364,37.75916989,6.0,20250316211350,1.0,,클로버리조트,12428,POINT (127.5418364 37.75916989),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 북한강변로 517-8,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2754454,28,20211007184459,http://tong.visitkorea.or.kr/cms/resource/24/2797424_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2797424_image3_1.jpg,Type3,127.5349616,37.77219047,6.0,20241218102341,1.0,,남이섬베스트캠핑장,12428,POINT (127.5349616 37.77219047),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 북한강변로 518,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2752914,28,20211005222702,http://tong.visitkorea.or.kr/cms/resource/93/2797193_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2797193_image2_1.jpg,Type3,127.5360254,37.77271265,6.0,20241220144303,1.0,,글램바오캠핑장,12428,POINT (127.5360254 37.77271265),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 북한강변로 970-9,,31,,인문(문화/예술/역사),휴양관광지,관광단지,2500186,12,20170718190249,http://tong.visitkorea.or.kr/cms/resource/77/2500177_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2500177_image3_1.jpg,Type3,127.5233036,37.79985926,6.0,20250316160557,1.0,031-581-7770,W지우리조트,12422,POINT (127.5233036 37.79985926),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 상지로 1109,,31,,음식,음식점,한식,1012774,39,20100501000156,http://tong.visitkorea.or.kr/cms/resource/74/1021274_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/1021274_image3_1.jpg,Type3,127.504896,37.73685791,6.0,20250103094702,1.0,031-582-3588,음봉가든,12430,POINT (127.504896 37.73685791),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 상지로 705-38,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2798624,28,20211215213733,http://tong.visitkorea.or.kr/cms/resource/32/2798732_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2798732_image2_1.jpg,Type3,127.4964713,37.75253371,6.0,20240808165202,1.0,,가평포레스트카라반랜드,12429,POINT (127.4964713 37.75253371),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 석봉로 100,,31,0.0,인문(문화/예술/역사),문화시설,공연장,2772315,14,20211110224443,http://tong.visitkorea.or.kr/cms/resource/53/3332053_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/53/3332053_image3_1.png,Type3,127.5126927,37.82422845,6.0,20250315120734,1.0,,음악역 1939,12416,POINT (127.5126927 37.82422845),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 석봉로 141,,31,,음식,음식점,한식,1207468,39,20110217215655,,,,127.5112955,37.82777523,6.0,20230526140405,1.0,031-582-7545,대나무통와인생삼겹,12417,POINT (127.5112955 37.82777523),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 석봉로 143-1,,31,,음식,음식점,한식,1208684,39,20110218223842,,,,127.5112261,37.82798076,6.0,20250318191433,1.0,031-581-5533,인천집,12417,POINT (127.5112261 37.82798076),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 석봉로 212,,31,,음식,음식점,한식,1195361,39,20110207230313,,,,127.5096927,37.83377173,6.0,20250107102323,1.0,031-582-4760,안동닭갈비막국수,12413,POINT (127.5096927 37.83377173),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 승안리 산 223,,31,0.0,자연,자연관광지,계곡,2773864,12,20211112192021,,,,127.4805335,37.85947375,6.0,20250315133045,1.0,,용추계곡,12408,POINT (127.4805335 37.85947375),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 신용길 4,,31,0.0,인문(문화/예술/역사),건축/조형물,기념탑/기념비/전망대,1201288,12,20110210234206,,,,127.5156452,37.82591164,6.0,20240823154557,1.0,,영연방참전기념비,12419,POINT (127.5156452 37.82591164),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 용추로 227-88,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2753024,28,20211005232913,http://tong.visitkorea.or.kr/cms/resource/47/2753247_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/47/2753247_image2_1.JPG,Type3,127.4865445,37.84541717,6.0,20240812113911,1.0,,고멧 캠핑장,12408,POINT (127.4865445 37.84541717),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 용추로 238,,31,0.0,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,630461,12,20081001023346,http://tong.visitkorea.or.kr/cms/resource/21/3346921_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/3346921_image3_1.jpg,Type3,127.4877443,37.84756972,6.0,20250315122025,1.0,,가평 아홉마지기마을,12408,POINT (127.4877443 37.84756972),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 용추로171번길 100,,31,,레포츠,육상 레포츠,골프,2763737,28,20211027225927,http://tong.visitkorea.or.kr/cms/resource/69/2763969_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2763969_image2_1.jpg,Type3,127.471718,37.84681951,6.0,20250103154128,1.0,,베뉴지CC,12408,POINT (127.471718 37.84681951),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 이화리 32-2,,31,,레포츠,레포츠소개,수상레포츠,2723685,28,20210629183603,,,,127.5201984,37.79529584,6.0,20241210134544,1.0,,워터플레이,12427,POINT (127.5201984 37.79529584),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 자라섬로 60,,31,0.0,자연,자연관광지,섬,1437418,12,20111116014424,,,,127.5210476,37.82089288,6.0,20250315144921,1.0,,자라섬,12421,POINT (127.5210476 37.82089288),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 자라섬로 60,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",762653,28,20090707012832,,,,127.520706,37.82000131,6.0,20240822113724,1.0,,자라섬캠핑장,12421,POINT (127.520706 37.82000131),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 자라섬로 64,,31,0.0,인문(문화/예술/역사),휴양관광지,테마공원,1060192,12,20100715201751,,,,127.5186757,37.81830425,6.0,20240510113208,1.0,,자라섬 이화원,12421,POINT (127.5186757 37.81830425),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 장터2길 10,,31,,쇼핑,쇼핑,5일장,131982,38,20020417090000,http://tong.visitkorea.or.kr/cms/resource/13/2364413_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2364413_image3_1.jpg,Type3,127.5148701,37.82977506,6.0,20240528143909,1.0,,"가평5일장 (5, 10일)",12419,POINT (127.5148701 37.82977506),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 장터길 14,,31,,레포츠,육상 레포츠,트래킹,2361081,28,20160113005508,http://tong.visitkorea.or.kr/cms/resource/45/3096245_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/3096245_image3_1.jpg,Type1,127.5158756,37.82902239,6.0,20250315131205,1.0,,가평 레일바이크,12419,POINT (127.5158756 37.82902239),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 중앙로 10,,31,,인문(문화/예술/역사),체험관광지,이색체험,3077222,12,20231024103926,,,,127.5132759,37.82643931,6.0,20240112142012,1.0,,가평군어린이음악놀이터,12420,POINT (127.5132759 37.82643931),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 중앙로 9,,31,,음식,음식점,한식,1208061,39,20110218012415,,,,127.5126482,37.82715588,6.0,20250103163040,1.0,031-581-9227,다한우,12418,POINT (127.5126482 37.82715588),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 태봉두밀로 149-10,,31,,음식,음식점,서양식,1219964,39,20110228220212,,,,127.4734633,37.81145421,6.0,20241210131639,1.0,031-582-4647,끈과끈사이,12424,POINT (127.4734633 37.81145421),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 태봉두밀로 655-9,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2750799,28,20210928232416,http://tong.visitkorea.or.kr/cms/resource/66/2750866_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/66/2750866_image2_1.JPG,Type3,127.432881,37.80827883,6.0,20240813093704,1.0,,두밀숲캠핑장,12425,POINT (127.432881 37.80827883),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 태봉두밀로406번길 14-27,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2745701,28,20210916012632,http://tong.visitkorea.or.kr/cms/resource/46/2746046_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/46/2746046_image2_1.JPG,Type3,127.457734,37.81860864,6.0,20240816091324,1.0,,뚜뚜글램핑,12425,POINT (127.457734 37.81860864),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 태봉두밀로596번길 78-16,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2744405,28,20210914201751,http://tong.visitkorea.or.kr/cms/resource/69/2744169_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/69/2744169_image2_1.JPG,Type3,127.4310922,37.81198115,6.0,20240723160723,1.0,,여우가달을사랑할때,12425,POINT (127.4310922 37.81198115),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 태봉안길 163-9,,31,,음식,음식점,한식,1215972,39,20110225021136,,,,127.4753965,37.80915729,6.0,20250106093619,1.0,031-582-9933,왕장어촌,12424,POINT (127.4753965 37.80915729),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 하색리,산181,31,0.0,인문(문화/예술/역사),역사관광지,유적지/사적지,921156,12,20100113191501,,,,127.4885425,37.8106518,6.0,20240823145745,1.0,,이방실장군묘,12424,POINT (127.4885425 37.8106518),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 호반로 1660-143,,31,0.0,인문(문화/예술/역사),역사관광지,유적지/사적지,921096,12,20100113183142,,,,127.5133533,37.74316844,6.0,20241113102325,1.0,,가평향교,12430,POINT (127.5133533 37.74316844),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 호반로 2092,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2737333,28,20210830224239,http://tong.visitkorea.or.kr/cms/resource/07/2737607_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2737607_image2_1.jpg,Type3,127.5092861,37.77681446,6.0,20240809110013,1.0,,하늘숲캠핑장,12427,POINT (127.5092861 37.77681446),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 호반로 2540,,31,0.0,인문(문화/예술/역사),건축/조형물,기념탑/기념비/전망대,1104176,12,20101006023757,http://tong.visitkorea.or.kr/cms/resource/18/3386018_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/18/3386018_image3_1.JPG,Type3,127.5157483,37.81263541,6.0,20250318191023,1.0,,가평 현충탑,12422,POINT (127.5157483 37.81263541),2531,20240630,31570110,가평읍
경기도 가평군 가화로 328 동신상회,,31,,음식,음식점,한식,2900598,39,20221107164503,http://tong.visitkorea.or.kr/cms/resource/80/2900580_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2900580_image3_1.jpg,Type3,127.5062065,37.84711733,6.0,20240228142640,1.0,,두메막국수,12409,POINT (127.5062065 37.84711733),2531,20240630,31570110,가평읍
경기도 가평군 가화로 76-1 송원막국수,,31,,음식,음식점,한식,2851622,39,20220907162648,http://tong.visitkorea.or.kr/cms/resource/09/2851609_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2851609_image3_1.jpg,Type3,127.5153757,37.82676154,6.0,20240124142317,1.0,,송원막국수,12419,POINT (127.5153757 37.82676154),2531,20240630,31570110,가평읍
경기도 가평군 경춘로 1031,,31,,음식,음식점,서양식,2852944,39,20220914101821,http://tong.visitkorea.or.kr/cms/resource/21/2852921_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2852921_image3_1.jpg,Type3,127.4339631,37.75292696,6.0,20250121162554,1.0,,델씨엘로,12450,POINT (127.4339631 37.75292696),3224,20240630,31570320,청평면
경기도 가평군 경춘로 1859,,31,,음식,음식점,카페/전통찻집,2851794,39,20220908095851,http://tong.visitkorea.or.kr/cms/resource/87/2851787_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2851787_image3_1.jpg,Type3,127.4879733,37.80340541,6.0,20241226142348,1.0,,니드썸레스트,12426,POINT (127.4879733 37.80340541),2531,20240630,31570110,가평읍
경기도 가평군 경춘로 40,,31,,음식,음식점,카페/전통찻집,2853030,39,20220914105630,http://tong.visitkorea.or.kr/cms/resource/17/2853017_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/17/2853017_image3_1.jpeg,Type3,127.3776759,37.67969555,6.0,20240129105347,1.0,,히든플랜트,12457,POINT (127.3776759 37.67969555),3224,20240630,31570320,청평면
